Tiempo_s,Voltaje_plasma_V,Voltaje_R_V,Corriente_A,Voltaje_HV_estimado_V
0.0,138.91404,0.58661398,3.963607972972973e-05,300.0
2.0359716415405273,137.51506,0.58463651,3.95024668918919e-05,305.0
4.068829536437988,136.21776,0.58263258,3.936706621621621e-05,310.0
6.103933334350586,134.6588,0.5806206,3.9231121621621626e-05,315.0
8.141377925872803,133.09076,0.57887826,3.911339594594594e-05,320.0
10.175321817398071,131.78465,0.5766715,3.896429054054054e-05,325.0
12.211159944534302,130.36282,0.57500112,3.885142702702703e-05,330.0
14.245854377746582,128.86626,0.57315952,3.87269945945946e-05,335.0
16.279585599899292,127.37764,0.57070332,3.8561035135135136e-05,340.0
18.314372777938843,125.92084,0.56886329,3.8436708783783783e-05,345.0
20.3502836227417,124.63813,0.56673625,3.8292989864864865e-05,350.0
22.38566565513611,123.14951,0.56502642,3.817746081081081e-05,355.0
24.419513463974,121.71786,0.56284761,3.8030243918918924e-05,360.0
26.453988075256348,120.23571,0.56088301,3.7897500675675676e-05,365.0
28.488933324813843,118.44488,0.55911075,3.777775337837838e-05,370.0
30.498530626296997,117.06729,0.55689188,3.762782972972973e-05,375.0
32.50731420516968,115.62217,0.55493332,3.749549459459459e-05,380.0
34.51601243019104,114.16828,0.55289383,3.735769121621622e-05,385.0
36.524786949157715,112.71289,0.55086647,3.722070743243243e-05,390.0
38.53430366516113,111.38128,0.54894924,3.7091164864864864e-05,395.0
40.543882608413696,109.98649,0.54704143,3.6962258783783786e-05,400.0
42.55286192893982,108.55178,0.54474386,3.680701756756757e-05,405.0
44.56296181678772,107.19475,0.54293804,3.6685002702702705e-05,410.0
46.57209801673889,105.78574,0.54110825,3.656136824324324e-05,415.0
48.581852436065674,104.34866,0.53885256,3.640895675675676e-05,420.0
50.59089779853821,102.94232,0.5368525,3.6273817567567564e-05,425.0
52.600728273391724,101.36251,0.53507638,3.615380945945946e-05,430.0
54.60911273956299,100.11675,0.53302401,3.601513581081081e-05,435.0
56.619075298309326,98.753736,0.5308954,3.5871310810810814e-05,440.0
58.62921166419983,97.301822,0.52889774,3.5736333783783786e-05,445.0
60.638890743255615,95.822772,0.52697477,3.560640337837838e-05,450.0
62.6490204334259,94.113775,0.52458865,3.544517905405405e-05,455.0
64.65858721733093,92.919687,0.52254924,3.5307381081081085e-05,460.0
66.6684582233429,90.996176,0.521301,3.522304054054054e-05,465.0
68.67789769172668,89.478741,0.51941945,3.509590878378378e-05,470.0
70.68733143806458,87.490204,0.51819004,3.501284054054054e-05,475.0
72.69646644592285,86.24169,0.51658535,3.4904415540540545e-05,480.0
74.70582628250122,84.327747,0.51552517,3.4832781756756756e-05,485.0
76.7163188457489,83.019335,0.51337773,3.4687684459459456e-05,490.0
78.72420740127563,81.365788,0.51160767,3.456808581081081e-05,495.0
80.73566102981567,79.774926,0.50959924,3.4432381081081084e-05,500.0
82.74474024772644,78.481059,0.50811902,3.4332366216216216e-05,505.0
84.75462698936462,76.815698,0.50546764,3.415321891891892e-05,510.0
86.76496434211731,75.483913,0.50347114,3.401832027027027e-05,515.0
88.77407741546631,74.231198,0.50144418,3.388136351351352e-05,520.0
90.78441786766052,72.661514,0.49984618,3.377339054054054e-05,525.0
92.79360175132751,71.16887,0.49755356,3.361848378378378e-05,530.0
94.80367040634155,69.801269,0.49576028,3.349731621621622e-05,535.0
96.80713629722595,68.566639,0.49405989,3.3382425e-05,540.0
98.8208270072937,66.698919,0.49280673,3.3297752027027026e-05,545.0
100.83172750473022,64.592244,0.49120569,3.318957364864865e-05,550.0
102.83357501029968,62.171843,0.49082748,3.316401891891892e-05,555.0
104.84698510169983,60.527303,0.48990705,3.31018277027027e-05,560.0
106.854421377182,59.045336,0.4878391,3.296210135135135e-05,565.0
108.86792755126953,57.95266,0.48557975,3.2809442567567565e-05,570.0
110.88085007667542,56.475628,0.48297116,3.263318648648649e-05,575.0
112.89244484901428,55.314341,0.48072392,3.2481345945945945e-05,580.0
114.89495491981506,54.198952,0.47804713,3.230048175675675e-05,585.0
116.91071105003357,53.012838,0.47541584,3.212269189189189e-05,590.0
118.9194643497467,51.911939,0.47295033,3.195610337837838e-05,595.0
120.93037986755371,50.821837,0.47039967,3.178376148648649e-05,600.0
122.93490433692932,49.615805,0.46777329,3.160630337837838e-05,605.0
124.94488763809204,48.53204,0.46516135,3.142982094594594e-05,610.0
126.96208477020264,47.473947,0.4625857,3.125579054054054e-05,615.0
128.96736359596252,46.424639,0.45983933,3.1070225e-05,620.0
130.97610187530518,45.316838,0.45706391,3.088269662162162e-05,625.0
132.98496103286743,44.288969,0.45455342,3.071306891891892e-05,630.0
134.99535703659058,43.166089,0.45191962,3.053510945945946e-05,635.0
137.00396966934204,42.082972,0.44920965,3.035200337837838e-05,640.0
139.01957058906555,41.033902,0.44665806,3.017959864864865e-05,645.0
141.03154492378235,39.987617,0.44314106,2.9941963513513512e-05,650.0
143.0369849205017,38.834783,0.44055266,2.976707162162162e-05,655.0
145.04897952079773,37.800326,0.43842289,2.9623168243243245e-05,660.0
147.05952143669128,36.817233,0.43585498,2.944966081081081e-05,665.0
