Tiempo_s,Voltaje_plasma_V,Voltaje_R_V,Corriente_A,Voltaje_HV_estimado_V
0.0010366439819335938,147.45368,0.66561487,4.49739777027027e-05,200.0
2.035280227661133,146.30686,0.66400265,4.486504391891892e-05,205.0
4.071152687072754,144.77597,0.66121468,4.4676667567567574e-05,210.0
6.105429649353027,143.49199,0.65915477,4.453748445945946e-05,215.0
8.14282751083374,142.33845,0.65704676,4.439505135135135e-05,220.0
10.177799701690674,141.07962,0.65441401,4.421716283783784e-05,225.0
12.212061405181885,139.67782,0.65179757,4.4040376351351354e-05,230.0
14.246740579605103,138.5082,0.65018838,4.3931647297297295e-05,235.0
16.281818151474,137.2884,0.64761166,4.3757544594594594e-05,240.0
18.317112922668457,136.02261,0.64523098,4.3596687837837835e-05,245.0
20.351329803466797,134.4577,0.64352881,4.348167635135135e-05,250.0
22.386489152908325,133.25762,0.6405262,4.32787972972973e-05,255.0
24.421092987060547,131.97875,0.63878008,4.316081621621622e-05,260.0
26.456466913223267,130.5782,0.63587151,4.296429121621621e-05,265.0
28.492482662200928,129.34598,0.63355337,4.280766013513513e-05,270.0
30.5267653465271,128.2706,0.63139642,4.266192027027027e-05,275.0
32.56210112571716,126.90032,0.62861271,4.2473831756756756e-05,280.0
34.59474754333496,125.59026,0.62694035,4.236083445945946e-05,285.0
36.6283164024353,124.20349,0.62461656,4.220382162162162e-05,290.0
38.66447925567627,123.07354,0.62206947,4.2031720945945946e-05,295.0
40.69936537742615,121.56174,0.61966275,4.186910472972973e-05,300.0
42.735599994659424,120.33453,0.61756552,4.1727399999999996e-05,305.0
44.76907253265381,118.92338,0.61489124,4.1546705405405405e-05,310.0
46.7764618396759,118.08914,0.61263073,4.139396824324325e-05,315.0
48.78677988052368,116.72562,0.61004578,4.121930945945946e-05,320.0
50.79624366760254,115.1932,0.60797541,4.1079419594594595e-05,325.0
52.79961705207825,114.11842,0.60548197,4.091094391891892e-05,330.0
54.81325578689575,112.94591,0.60328998,4.076283648648649e-05,335.0
56.82525634765625,111.4483,0.60068222,4.058663648648649e-05,340.0
58.83013105392456,110.38053,0.59841126,4.043319324324324e-05,345.0
60.84019660949707,109.00935,0.5961496,4.0280378378378374e-05,350.0
62.84957027435303,107.85346,0.5938346,4.012395945945946e-05,355.0
64.86171889305115,106.53221,0.59162252,3.9974494594594596e-05,360.0
66.8677031993866,105.27305,0.58897941,3.979590608108108e-05,365.0
68.87633037567139,104.06937,0.58676868,3.964653243243243e-05,370.0
70.89397311210632,102.97338,0.58424648,3.9476113513513516e-05,375.0
72.89596796035767,101.62482,0.58186402,3.9315136486486486e-05,380.0
74.90634298324585,100.3063,0.57957026,3.91601527027027e-05,385.0
76.9180634021759,99.194867,0.57730379,3.9007012837837836e-05,390.0
78.92965006828308,97.947854,0.57480699,3.883831013513514e-05,395.0
80.94398188591003,96.636847,0.57252839,3.8684350675675677e-05,400.0
82.94847869873047,95.395257,0.57019938,3.852698513513514e-05,405.0
84.96460938453674,94.291072,0.56746402,3.834216351351351e-05,410.0
86.96835255622864,92.993457,0.5652263,3.819096621621621e-05,415.0
88.98329067230225,91.765955,0.56281215,3.802784797297297e-05,420.0
90.98956561088562,90.587907,0.56051849,3.7872870945945944e-05,425.0
92.99970841407776,89.434216,0.55812516,3.771115945945946e-05,430.0
95.0147476196289,88.06614,0.55568044,3.754597567567568e-05,435.0
97.02332091331482,86.87297,0.55340373,3.739214391891892e-05,440.0
99.0334837436676,85.778146,0.55085862,3.722017702702702e-05,445.0
101.04380416870117,84.530485,0.54823653,3.704300878378379e-05,450.0
103.0530436038971,83.307882,0.54547178,3.685620135135135e-05,455.0
105.06331372261047,82.065226,0.54326605,3.670716554054054e-05,460.0
107.07143425941467,81.022034,0.54122289,3.656911418918919e-05,465.0
109.0821783542633,79.478974,0.5385462,3.638825675675676e-05,470.0
111.09076809883118,78.471272,0.53661999,3.6258107432432434e-05,475.0
113.10120153427124,77.332778,0.53378337,3.606644391891892e-05,480.0
115.11216187477112,76.133175,0.53138877,3.590464662162162e-05,485.0
117.12149786949158,74.671272,0.52903403,3.574554256756757e-05,490.0
119.13181686401367,73.448167,0.52589755,3.553361824324325e-05,495.0
121.14013314247131,72.415888,0.52366893,3.5383035810810815e-05,500.0
123.15000319480896,71.126388,0.5212326,3.521841891891892e-05,505.0
125.15969824790955,69.792681,0.51871594,3.5048374324324325e-05,510.0
127.16786432266235,68.661098,0.51638003,3.489054256756757e-05,515.0
129.17153787612915,67.668903,0.51399077,3.4729106081081086e-05,520.0
