Tiempo_s,Voltaje_plasma_V,Voltaje_R_V,Corriente_A,Voltaje_HV_estimado_V
0.007513523101806641,141.441,0.58200125,3.9324408783783785e-05,300.0
2.0412464141845703,140.01373,0.58034698,3.921263378378378e-05,305.0
4.07597541809082,138.71984,0.5783876,3.908024324324324e-05,310.0
6.113370418548584,136.96073,0.57652987,3.895472094594595e-05,315.0
8.149357795715332,135.6772,0.57410443,3.879083986486486e-05,320.0
10.185354471206665,134.24806,0.57240497,3.8676011486486486e-05,325.0
12.220178365707397,132.6819,0.57040543,3.854090743243243e-05,330.0
14.254395723342896,131.1748,0.56834952,3.84019945945946e-05,335.0
16.2907133102417,129.46035,0.56671763,3.8291731756756755e-05,340.0
18.326613664627075,128.39489,0.56507004,3.818040810810811e-05,345.0
20.361385107040405,126.399,0.56314958,3.80506472972973e-05,350.0
22.396120309829712,125.04689,0.56262242,3.801502837837838e-05,355.0
24.42983078956604,122.50824,0.56044088,3.786762702702703e-05,360.0
26.464877605438232,121.18471,0.55972347,3.7819153378378376e-05,365.0
28.500163793563843,119.05365,0.55772529,3.768414121621622e-05,370.0
30.514434814453125,117.16519,0.55691217,3.762920067567568e-05,375.0
32.524930000305176,115.29546,0.55534218,3.752312027027027e-05,380.0
34.53441905975342,113.53392,0.55362913,3.740737364864865e-05,385.0
36.54109311103821,112.14244,0.55223404,3.731311081081081e-05,390.0
38.55508351325989,110.42285,0.55083917,3.721886283783784e-05,395.0
40.565317153930664,108.78132,0.54909066,3.710072027027027e-05,400.0
42.57687830924988,107.1474,0.54727656,3.6978145945945945e-05,405.0
44.589927673339844,105.7451,0.54534846,3.684786891891892e-05,410.0
46.601332664489746,104.3114,0.5435609,3.6727087837837836e-05,415.0
48.611165046691895,102.88662,0.54147287,3.658600472972973e-05,420.0
50.62261343002319,101.44494,0.53940629,3.644637094594594e-05,425.0
52.63121557235718,100.12049,0.53743164,3.631294864864865e-05,430.0
54.641932010650635,98.702999,0.53555615,3.6186226351351354e-05,435.0
