Tiempo_s,Voltaje_plasma_V,Voltaje_R_V,Corriente_A,Voltaje_HV_estimado_V
0.0011169910430908203,2.29e-06,0.28293065,1.9116935810810812e-05,300.0
2.031493902206421,-2.259e-06,0.28752708,1.9427505405405405e-05,305.0
4.051164627075195,-3.175e-06,0.29209672,1.9736264864864862e-05,310.0
6.07233190536499,-3.372e-06,0.29707692,2.0072764864864868e-05,315.0
8.086460828781128,-3.914e-06,0.30165326,2.0381977027027025e-05,320.0
10.102832794189453,-3.862e-06,0.306266,2.069364864864865e-05,325.0
12.127754926681519,-3.685e-06,0.31177846,2.106611216216216e-05,330.0
14.142664670944214,-3.528e-06,0.31571793,2.1332292567567566e-05,335.0
16.1573646068573,-3.039e-06,0.32033914,2.164453648648649e-05,340.0
18.177038431167603,-2.696e-06,0.32526862,2.197760945945946e-05,345.0
20.19682502746582,-2.498e-06,0.32990144,2.2290637837837836e-05,350.0
22.214685201644897,-3.164e-06,0.33445999,2.2598647972972973e-05,355.0
24.233420372009277,-3.154e-06,0.33903947,2.2908072297297297e-05,360.0
26.249576091766357,-3.018e-06,0.34400459,2.324355337837838e-05,365.0
28.269057989120483,-2.81e-06,0.34861535,2.3555091216216215e-05,370.0
30.279473781585693,-2.894e-06,0.35327661,2.3870041216216214e-05,375.0
32.299566984176636,-3.175e-06,0.35814428,2.4198937837837836e-05,380.0
34.31961274147034,-3.57e-06,0.362709,2.4507364864864864e-05,385.0
36.33955407142639,-3.57e-06,0.36729518,2.4817241891891892e-05,390.0
38.349172830581665,-3.622e-06,0.37264029,2.517839797297297e-05,395.0
40.37387156486511,-2.946e-06,0.37685483,2.5463164189189188e-05,400.0
42.39045238494873,-2.3e-06,0.38250432,2.5844886486486487e-05,405.0
44.40902662277222,-2.977e-06,0.38686456,2.61394972972973e-05,410.0
46.41984438896179,-2.998e-06,0.39096241,2.6416379054054054e-05,415.0
48.441667556762695,-3.154e-06,0.39670884,2.680465135135135e-05,420.0
50.46085596084595,-2.581e-06,0.39989188,2.701972162162162e-05,425.0
52.47815227508545,-2.279e-06,0.40506169,2.7369033108108108e-05,430.0
54.491328954696655,-2.092e-06,0.410732,2.775216216216216e-05,435.0
56.51135587692261,-3.955e-06,0.41543584,2.806998918918919e-05,440.0
58.52892303466797,-5.111e-06,0.41972907,2.8360072297297295e-05,445.0
60.54663062095642,22.107232,0.38216982,2.5822285135135136e-05,450.0
62.53774619102478,22.706463,0.38608125,2.6086570945945945e-05,455.0
64.55063796043396,23.72523,0.38910114,2.6290617567567567e-05,460.0
66.5616295337677,24.688541,0.39233019,2.6508796621621622e-05,465.0
68.56925058364868,25.754379,0.394839,2.6678310810810812e-05,470.0
70.5791015625,26.697439,0.39786807,2.6882977702702704e-05,475.0
72.582759141922,27.79345,0.40069339,2.7073877702702703e-05,480.0
74.59863567352295,28.543777,0.40342593,2.7258508783783783e-05,485.0
76.60655355453491,29.844882,0.406075,2.7437500000000003e-05,490.0
78.61551451683044,30.586215,0.40929759,2.7655242567567566e-05,495.0
80.62868237495422,31.560324,0.4122229,2.785289864864865e-05,500.0
82.6374921798706,32.595489,0.41460348,2.801374864864865e-05,505.0
84.64749026298523,33.748177,0.41728225,2.8194746621621622e-05,510.0
86.65729808807373,34.503671,0.42045924,2.8409408108108107e-05,515.0
88.67000532150269,35.63568,0.42338476,2.860707837837838e-05,520.0
90.6793851852417,36.669449,0.42607703,2.8788988513513516e-05,525.0
92.68321061134338,37.670438,0.42903372,2.8988764864864865e-05,530.0
94.69702053070068,38.796486,0.43185297,2.917925472972973e-05,535.0
96.70899176597595,39.787325,0.43415396,2.933472702702703e-05,540.0
98.71158170700073,40.942247,0.43760391,2.9567831756756755e-05,545.0
100.72192358970642,41.956317,0.44040905,2.9757368243243244e-05,550.0
102.73909759521484,42.965193,0.44306691,2.9936953378378375e-05,555.0
104.74175667762756,43.902334,0.44555647,3.010516689189189e-05,560.0
106.7566568851471,45.005192,0.44868511,3.0316561486486486e-05,565.0
108.76085472106934,46.039961,0.4511133,3.0480628378378377e-05,570.0
110.77053332328796,47.203098,0.45387073,3.0666941216216213e-05,575.0
112.78315424919128,48.185605,0.45673203,3.08602722972973e-05,580.0
114.79399418830872,49.100264,0.45944469,3.1043560135135134e-05,585.0
116.80813479423523,50.15001,0.46217632,3.1228129729729725e-05,590.0
118.80922532081604,51.24377,0.46502663,3.142071824324324e-05,595.0
120.82646250724792,52.353748,0.46748817,3.158703851351351e-05,600.0
122.83689522743225,53.364826,0.47033775,3.17795777027027e-05,605.0
124.83967804908752,54.41427,0.47270976,3.193984864864865e-05,610.0
126.85407948493958,55.624101,0.4758429,3.2151547297297296e-05,615.0
128.86190843582153,56.502247,0.47801868,3.229855945945946e-05,620.0
130.8705518245697,57.668319,0.48066649,3.247746554054054e-05,625.0
132.88520741462708,58.802805,0.48347739,3.266739121621622e-05,630.0
134.8949077129364,59.818533,0.48616182,3.284877162162162e-05,635.0
136.9022138118744,60.8942,0.48901276,3.3041402702702704e-05,640.0
138.91641402244568,61.965644,0.49147001,3.320743310810811e-05,645.0
140.92375230789185,63.240402,0.49429585,3.339836824324324e-05,650.0
142.9337921142578,64.412164,0.49675697,3.356466013513514e-05,655.0
144.9431347846985,67.531233,0.49427776,3.339714594594595e-05,660.0
146.95440864562988,70.666361,0.49515301,3.345628445945946e-05,665.0
148.9619426727295,72.243809,0.49575767,3.349713986486486e-05,670.0
150.972149848938,73.70554,0.49753494,3.361722567567568e-05,675.0
152.98196816444397,75.163172,0.49961962,3.375808243243243e-05,680.0
154.99478912353516,76.713568,0.50196976,3.391687567567568e-05,685.0
156.99868202209473,77.966376,0.50367248,3.403192432432432e-05,690.0
159.01485180854797,79.351955,0.50593675,3.4184915540540546e-05,695.0
161.0180561542511,80.975112,0.5079798,3.432295945945946e-05,700.0
163.02518272399902,82.277772,0.51064916,3.4503321621621627e-05,705.0
165.03912162780762,83.464042,0.51216548,3.460577567567567e-05,710.0
167.0508840084076,84.748044,0.5146197,3.4771601351351354e-05,715.0
169.05775666236877,86.042736,0.51640074,3.4891941891891896e-05,720.0
171.06772565841675,87.681571,0.51830792,3.502080540540541e-05,725.0
173.07853198051453,89.012403,0.52056047,3.5173004729729734e-05,730.0
175.09089016914368,90.595129,0.52318863,3.535058310810811e-05,735.0
177.0974440574646,91.973727,0.52502638,3.547475540540541e-05,740.0
179.10719060897827,93.31917,0.52717632,3.562002162162162e-05,745.0
181.11804509162903,94.829942,0.52916185,3.575417905405406e-05,750.0
183.12822008132935,96.201348,0.53114779,3.588836418918919e-05,755.0
185.14482402801514,97.355164,0.53286868,3.600464054054054e-05,760.0
187.14699792861938,99.036383,0.53510922,3.615602837837838e-05,765.0
189.15783143043518,100.45448,0.53719453,3.62969277027027e-05,770.0
191.16807866096497,101.811,0.53901113,3.641967094594595e-05,775.0
193.1795449256897,103.19956,0.54103525,3.655643581081081e-05,780.0
195.18637418746948,104.6883,0.54316626,3.6700422972972976e-05,785.0
197.2035460472107,106.09,0.54494856,3.682084864864865e-05,790.0
199.2126796245575,107.41925,0.54694113,3.6955481756756755e-05,795.0
201.22328400611877,108.97792,0.54887561,3.708618986486486e-05,800.0
203.2310869693756,110.35136,0.55082871,3.721815608108108e-05,805.0
205.24137830734253,111.79718,0.55282626,3.7353125675675676e-05,810.0
207.25225353240967,113.25929,0.55476231,3.748393986486486e-05,815.0
209.26117372512817,114.74825,0.55690045,3.7628408783783786e-05,820.0
211.2702419757843,116.7938,0.55715336,3.76454972972973e-05,825.0
213.28011846542358,118.98768,0.55862857,3.774517364864865e-05,830.0
215.28938102722168,121.11876,0.56034267,3.7860991216216216e-05,835.0
217.32319021224976,122.98222,0.56124825,3.7922179054054055e-05,840.0
219.3608639240265,124.74134,0.56230487,3.7993572297297294e-05,845.0
221.39106440544128,126.1523,0.56322091,3.805546689189189e-05,850.0
223.42668294906616,127.81697,0.56529189,3.819539797297297e-05,855.0
225.4607594013214,129.42769,0.5670152,3.831183783783784e-05,860.0
227.49964213371277,131.3353,0.56874718,3.8428863513513514e-05,865.0
229.53766345977783,132.57671,0.57061859,3.8555310135135136e-05,870.0
231.5700385570526,134.32486,0.57243311,3.867791283783783e-05,875.0
233.6026337146759,135.80576,0.5743929,3.881033108108108e-05,880.0
235.6370825767517,137.06289,0.57610344,3.892590810810811e-05,885.0
237.677992105484,138.49787,0.57837944,3.907969189189189e-05,890.0
239.71004438400269,140.00622,0.5803771,3.921466891891892e-05,895.0
241.74004340171814,141.44621,0.58241053,3.935206283783784e-05,900.0
