Tiempo_s,Voltaje_plasma_V,Voltaje_R_V,Corriente_A,Voltaje_HV_estimado_V
0.0,8.5131e-05,0.18772696,1.2684254054054054e-05,200.0
2.035529851913452,3.4098e-05,0.19260893,1.3014116891891892e-05,205.0
4.060441493988037,1.9131e-05,0.19720733,1.3324819594594593e-05,210.0
6.076359272003174,1.3458e-05,0.20211485,1.3656408783783785e-05,215.0
8.09587836265564,7.952e-06,0.20675635,1.3970023648648649e-05,220.0
10.113967895507812,6.651e-06,0.21133802,1.4279595945945946e-05,225.0
12.127624988555908,3.112e-06,0.21629937,1.4614822297297297e-05,230.0
14.142816543579102,2.519e-06,0.22085242,1.492246081081081e-05,235.0
16.164008855819702,1.957e-06,0.22570582,1.5250393243243244e-05,240.0
18.183884620666504,5.527e-06,0.23035485,1.556451689189189e-05,245.0
20.19461441040039,9.89e-07,0.23471071,1.5858831756756755e-05,250.0
22.21049213409424,4.68e-07,0.23946957,1.618037635135135e-05,255.0
24.23437809944153,4.58e-07,0.24520837,1.6568133108108108e-05,260.0
26.254701137542725,1.676e-06,0.24906468,1.6828694594594595e-05,265.0
28.268821239471436,1.915e-06,0.25475498,1.7213174324324327e-05,270.0
30.288858652114868,1.509e-06,0.2586391,1.7475614864864865e-05,275.0
32.30464792251587,-3.12e-07,0.26394929,1.7834411486486485e-05,280.0
34.32006216049194,-6.66e-07,0.2688302,1.8164202702702704e-05,285.0
36.337010622024536,6.25e-07,0.27281853,1.843368445945946e-05,290.0
38.35592246055603,5.52e-07,0.27799252,1.878327837837838e-05,295.0
40.377161502838135,1.46e-07,0.2829159,1.911593918918919e-05,300.0
42.391639709472656,-9.26e-07,0.28749831,1.9425561486486484e-05,305.0
44.41083335876465,-1.499e-06,0.2920622,1.9733932432432432e-05,310.0
46.430558919906616,-2.103e-06,0.29703958,2.0070241891891892e-05,315.0
48.448880195617676,-1.28e-06,0.30161749,2.0379560135135133e-05,320.0
50.4597692489624,-6.87e-07,0.30623128,2.0691302702702702e-05,325.0
